URL,URL,UniqueAbbridged,09/27_Sum,10/29_Sum,Total
"http://abpwidget.accuweather.com/widget/abpwidget/index.html#oncorelectric?ismetric=false&culture=en-us&cities=Fort%20Worth,TX;Dallas,TX;Midland,TX;Wichita%20Falls,TX;Waco,TX;Tyler,TX","http://abpwidget.accuweather.com/widget/abpwidget/index.html#oncorelectric?ismetric=false&culture=en-us&cities=Fort%20Worth,TX;Dallas,TX;Midland,TX;Wichita%20Falls,TX;Waco,TX;Tyler,TX",N/A,18,6381,1
http://ami/skillsdev/RL_Main.asp,http://ami/skillsdev/RL_Main.asp,N/A,18,6381,1
http://dbuinet/atoinsp/,http://dbuinet/atoinsp/,N/A,18,6381,1
http://dbuinet/swginsp,http://dbuinet/swginsp,N/A,18,6381,1
http://dmsreports.corp.oncor.com/DMSReports/,,N/A,18,6381,1
http://dmsreports.corp.oncor.com/DMSReports/ChangePassword,ChangePassword,ChangePassword,17,59,1
http://dmsreports.corp.oncor.com/DMSReports/Corrections/MyCorrections,Corrections/MyCorrections,Corrections/MyCorrections,0,0,0
http://dmsreports.corp.oncor.com/DMSReports/Corrections/NewCorrection,Corrections/NewCorrection,Corrections/NewCorrection,1,1,1
http://dmsreports.corp.oncor.com/DMSReports/Crew/Active#/System/All/,Crew/Active#/System/All/,Crew/Active,5794,24590,1
http://dmsreports.corp.oncor.com/DMSReports/Crew/Active/Find,Crew/Active/Find,Crew/Active/Find,8,72,1
http://dmsreports.corp.oncor.com/DMSReports/Crew/Active/Overtime#/,Crew/Active/Overtime#/,Crew/Active/Overtime,2,142,1
http://dmsreports.corp.oncor.com/DMSReports/Customers/CI,Customers/CI,Customers/CI,0,2870,1
http://dmsreports.corp.oncor.com/DMSReports/Customers/CI/Summary,Customers/CI/Summary,Customers/CI/Summary,0,1384,1
http://dmsreports.corp.oncor.com/DMSReports/Customers/Out/Critical#/System/All/,Customers/Out/Critical#/System/All/,Customers/Out/Critical,36431,320003,1
http://dmsreports.corp.oncor.com/DMSReports/Customers/Out/POI#/System/All/,Customers/Out/POI#/System/All/,Customers/Out/POI,0,8,1
http://dmsreports.corp.oncor.com/DMSReports/CustomersStillOut/#/System/All/,CustomersStillOut/#/System/All/,CustomersStillOut/,0,3,1
http://dmsreports.corp.oncor.com/DMSReports/DOCSummary/#/DOC/EDOC/?areaGroup=DOC,DOCSummary/#/DOC/EDOC/?areaGroup=DOC,N/A,0,0,0
http://dmsreports.corp.oncor.com/DMSReports/DOCSummary/#/DOC/WDOC/?areaGroup=DOC,DOCSummary/#/DOC/WDOC/?areaGroup=DOC,N/A,0,0,0
http://dmsreports.corp.oncor.com/DMSReports/DOCSummary/#/Region/MEO/?areaGroup=Region,DOCSummary/#/Region/MEO/?areaGroup=Region,N/A,0,0,0
http://dmsreports.corp.oncor.com/DMSReports/DOCSummary/#/System/All/,DOCSummary/#/System/All/,DOCSummary,722,12873,1
http://dmsreports.corp.oncor.com/DMSReports/ExternalLink/DistributionReportsSummary,ExternalLink/DistributionReportsSummary,ExternalLink/DistributionReportsSummary,1,0,1
http://dmsreports.corp.oncor.com/DMSReports/ExternalLink/EarlyWarningSystem,ExternalLink/EarlyWarningSystem,ExternalLink/EarlyWarningSystem,0,3,1
http://dmsreports.corp.oncor.com/DMSReports/ExternalLink/OutageMapHelp,ExternalLink/OutageMapHelp,ExternalLink/OutageMapHelp,1,9,1
http://dmsreports.corp.oncor.com/DMSReports/Metrics/EventsWithoutCallsByDay#/System/All/,Metrics/EventsWithoutCallsByDay#/System/All/,Metrics/EventsWithoutCallsByDay,0,0,0
http://dmsreports.corp.oncor.com/DMSReports/MWM/Beats/BackupBeats/,MWM/Beats/BackupBeats/,MWM/Beats/BackupBeats/,0,4,1
http://dmsreports.corp.oncor.com/DMSReports/MWM/ClosedOrder/#/,MWM/ClosedOrder/#/,MWM/ClosedOrder/,32,37,1
http://dmsreports.corp.oncor.com/DMSReports/MWM/ElectricOps/GuardLight/Connect/#/,MWM/ElectricOps/GuardLight/Connect/#/,MWM/ElectricOps/GuardLight/Connect/,0,5,1
http://dmsreports.corp.oncor.com/DMSReports/MWM/ElectricOps/GuardLight/Repair/#/,MWM/ElectricOps/GuardLight/Repair/#/,MWM/ElectricOps/GuardLight/Repair/,0,0,0
http://dmsreports.corp.oncor.com/DMSReports/MWM/ElectricOps/NewMeterSets/#/,MWM/ElectricOps/NewMeterSets/#/,MWM/ElectricOps/NewMeterSets/,0,13,1
